1	0.1524	19.7266	10.8808	0.8674
2	38.3355	38.2512	30.6445	11.2405
3	46.7409	45.1532	41.0034	25.3843
4	52.0090	49.6152	45.1542	35.1056
5	55.6891	56.6239	51.7173	40.4494
6	61.3404	59.2692	55.4143	44.5489
7	61.6739	61.5753	58.5577	48.3934
8	63.1466	63.9700	60.6283	51.4894
9	64.6519	66.2847	61.8689	53.5401
10	65.2948	66.9090	64.1355	56.7689
11	65.8707	66.7620	65.4022	56.9472
12	67.5564	67.3223	66.0025	59.7089
13	67.9567	67.1221	68.1814	57.3749
14	71.2619	67.9041	68.4023	59.7878
15	71.2644	69.3672	69.3171	59.8774
16	71.1076	69.5467	69.6588	60.5718
17	71.7725	71.4945	70.0587	60.8812
18	72.3057	68.0889	70.1283	62.0255
19	70.8927	69.3734	70.2841	63.0213
20	71.8574	68.8403	70.6514	63.0947
21	71.7054	69.7469	70.6287	63.7081
22	73.3545	70.5360	71.2688	64.0711
23	74.2737	71.1342	71.8518	63.1419
24	73.1861	71.6108	71.8523	63.8032
25	73.1600	70.0894	72.5898	62.4910
26	73.6098	71.6402	71.9530	61.6815
27	74.4937	71.9615	72.6748	62.9544
28	74.7247	71.1807	72.8507	62.7306
29	75.4534	72.2686	72.9279	63.8182
30	74.6396	68.6602	73.2747	64.6731
31	75.4273	71.0681	72.2988	64.5815
32	74.3684	71.8333	72.9786	64.0761
33	74.5769	72.7628	72.3092	63.0569
34	75.9264	72.4612	73.4449	63.1824
35	75.2010	72.0112	73.8235	64.9718
36	75.7959	72.9420	73.2193	63.0782
37	75.7044	72.9930	73.5197	62.6790
38	76.1050	71.3998	72.5144	65.1242
39	75.6949	72.3200	73.7118	64.8208
40	75.7034	72.3018	73.7403	65.0844
41	75.5932	72.9671	73.9864	64.3539
42	74.9674	71.8799	73.5903	65.2472
43	75.3590	73.2601	74.2538	67.2961
44	75.6501	73.9676	73.4058	65.4503
45	76.6039	72.5711	74.0038	67.9185
46	76.4568	74.2842	74.8115	68.1597
47	76.1475	74.7150	74.4024	64.8510
48	76.0326	75.1598	73.8126	65.6091
49	76.1639	75.0798	74.3563	66.7635
50	76.5146	74.7038	73.8927	67.8138
51	76.7474	72.9753	73.7264	68.2762
52	76.4598	74.3819	74.7649	69.1995
53	76.8898	75.0932	74.4105	69.6097
54	76.6235	74.2110	74.6925	68.9770
55	76.3769	75.3388	73.3783	69.9456
56	76.9431	73.8089	74.4878	70.0741
57	76.6383	74.9739	74.6513	70.0234
58	76.8937	74.8256	74.4880	70.3917
59	77.5411	75.0389	74.5320	70.6015
60	77.2664	75.4044	74.1741	70.8140
61	76.2753	73.8456	75.0459	69.1029
62	77.1960	75.0130	74.8844	70.9548
63	77.1120	75.9827	74.6732	71.1552
64	77.4418	75.3796	73.5590	70.0522
65	76.5750	74.9481	74.2707	71.0384
66	77.6526	75.6087	73.4310	71.5387
67	76.6646	75.9551	74.6929	71.1288
68	76.9648	75.9952	74.4992	71.0891
69	76.1614	76.5965	72.2105	70.5811
70	77.1890	76.3668	73.6006	72.2117
71	77.0986	76.5695	74.2665	71.8117
72	76.6966	74.2706	74.7517	71.6704
73	77.1164	75.1144	74.3285	71.4990
74	76.8171	76.9297	73.9942	72.4240
75	77.6417	77.2562	74.3592	71.8514
76	76.1275	76.7116	74.0954	71.7384
77	77.3216	73.9142	74.8906	70.9784
78	76.7474	78.0083	74.3329	70.8322
79	76.7823	77.4199	73.3961	72.0922
80	76.1327	76.8244	73.8650	71.8856
81	76.7874	76.3421	74.1164	72.6388
82	77.8343	75.7904	75.0240	68.6239
83	77.5542	76.6609	72.9108	70.8653
84	78.2383	77.1772	73.7589	71.9812
85	78.1879	77.7691	73.6520	72.4497
86	77.9696	76.5822	73.6194	70.8942
87	77.1747	76.9311	73.4086	69.6363
88	76.1043	77.1076	73.7732	72.1538
89	77.2613	76.1872	74.0780	71.8777
90	76.8486	75.8507	73.1724	71.2856
91	76.7871	77.2842	74.2651	71.4237
92	74.1366	77.3815	74.5373	69.8945
93	76.6574	76.4361	74.0421	72.2982
94	77.1655	77.7682	74.6140	72.1201
95	76.9858	76.0974	74.4129	71.9903
96	77.5997	77.5379	75.2202	72.3364
97	78.1917	77.4639	71.6010	72.7586
98	78.1002	77.1869	74.7702	72.5379
99	77.3007	77.5823	74.8913	72.6744
100	77.0503	75.7855	75.0131	73.4395
